# reactions: 2
Time	S	I	R	N	Fired Reaction
0.0	46.0	181.0	83.0	310.0	 0
0.000539344707651	45.0	182.0	83.0	310.0	 1
0.00355155956167	45.0	181.0	84.0	310.0	 2
0.00421312860516	45.0	180.0	85.0	310.0	 2
0.00816533240388	44.0	181.0	85.0	310.0	 1
0.00927085422012	43.0	182.0	85.0	310.0	 1
0.010405624504	43.0	181.0	86.0	310.0	 2
0.0170528333725	42.0	182.0	86.0	310.0	 1
0.0248008427199	42.0	181.0	87.0	310.0	 2
0.0278658107305	41.0	182.0	87.0	310.0	 1
0.0426644229794	41.0	181.0	88.0	310.0	 2
0.0445391792634	41.0	180.0	89.0	310.0	 2
0.04670715278	41.0	179.0	90.0	310.0	 2
0.0486536085343	40.0	180.0	90.0	310.0	 1
0.0508272359962	39.0	181.0	90.0	310.0	 1
0.0523152661493	39.0	180.0	91.0	310.0	 2
0.0527157750067	38.0	181.0	91.0	310.0	 1
0.0534937037043	37.0	182.0	91.0	310.0	 1
0.0543939515446	36.0	183.0	91.0	310.0	 1
0.0551874716685	36.0	182.0	92.0	310.0	 2
0.0562103276778	36.0	181.0	93.0	310.0	 2
0.057718447028	35.0	182.0	93.0	310.0	 1
0.0621387677305	35.0	181.0	94.0	310.0	 2
0.0639495769059	34.0	182.0	94.0	310.0	 1
0.0643053969671	34.0	181.0	95.0	310.0	 2
0.0693243713701	33.0	182.0	95.0	310.0	 1
0.0703656354808	32.0	183.0	95.0	310.0	 1
0.0718904072339	31.0	184.0	95.0	310.0	 1
0.0731188105147	31.0	183.0	96.0	310.0	 2
0.0789442563938	31.0	182.0	97.0	310.0	 2
0.0794912606664	31.0	181.0	98.0	310.0	 2
0.0795831888487	30.0	182.0	98.0	310.0	 1
0.0854794129498	30.0	181.0	99.0	310.0	 2
0.0877785250542	30.0	180.0	100.0	310.0	 2
0.0925236642057	30.0	179.0	101.0	310.0	 2
0.0946049108618	29.0	180.0	101.0	310.0	 1
0.0955292615189	28.0	181.0	101.0	310.0	 1
0.0963207287911	27.0	182.0	101.0	310.0	 1
0.0970050351525	27.0	181.0	102.0	310.0	 2
0.101697762005	27.0	180.0	103.0	310.0	 2
0.102185253391	27.0	179.0	104.0	310.0	 2
0.103461001121	27.0	178.0	105.0	310.0	 2
0.10361998348	27.0	177.0	106.0	310.0	 2
0.107555503968	27.0	176.0	107.0	310.0	 2
0.10850653979	26.0	177.0	107.0	310.0	 1
0.113142696931	26.0	176.0	108.0	310.0	 2
0.12289609514	26.0	175.0	109.0	310.0	 2
0.130045742743	25.0	176.0	109.0	310.0	 1
0.131991210634	25.0	175.0	110.0	310.0	 2
0.134141273413	25.0	174.0	111.0	310.0	 2
0.144461497807	25.0	173.0	112.0	310.0	 2
0.14476903706	25.0	172.0	113.0	310.0	 2
0.147551602811	25.0	171.0	114.0	310.0	 2
0.151644376749	24.0	172.0	114.0	310.0	 1
0.152637634648	24.0	171.0	115.0	310.0	 2
0.155181699732	23.0	172.0	115.0	310.0	 1
0.158157566836	23.0	171.0	116.0	310.0	 2
0.158652638825	22.0	172.0	116.0	310.0	 1
0.161736702757	22.0	171.0	117.0	310.0	 2
0.169310962145	22.0	170.0	118.0	310.0	 2
0.175261690284	21.0	171.0	118.0	310.0	 1
0.177655257446	20.0	172.0	118.0	310.0	 1
0.17809434117	20.0	171.0	119.0	310.0	 2
0.183938336286	20.0	170.0	120.0	310.0	 2
0.190944022285	20.0	169.0	121.0	310.0	 2
0.19635007471	20.0	168.0	122.0	310.0	 2
0.197037082168	20.0	167.0	123.0	310.0	 2
0.201419519051	20.0	166.0	124.0	310.0	 2
0.205968393912	19.0	167.0	124.0	310.0	 1
0.215384564179	19.0	166.0	125.0	310.0	 2
0.216476538632	19.0	165.0	126.0	310.0	 2
0.21773170131	19.0	164.0	127.0	310.0	 2
0.218038334209	18.0	165.0	127.0	310.0	 1
0.220416865076	17.0	166.0	127.0	310.0	 1
0.229419651602	17.0	165.0	128.0	310.0	 2
0.231561923586	17.0	164.0	129.0	310.0	 2
0.233709921661	16.0	165.0	129.0	310.0	 1
0.237694109085	16.0	164.0	130.0	310.0	 2
0.242914171567	15.0	165.0	130.0	310.0	 1
0.246813346461	14.0	166.0	130.0	310.0	 1
0.246971707341	14.0	165.0	131.0	310.0	 2
0.247837508749	14.0	164.0	132.0	310.0	 2
0.249780556658	14.0	163.0	133.0	310.0	 2
0.250609629705	13.0	164.0	133.0	310.0	 1
0.25256956364	12.0	165.0	133.0	310.0	 1
0.253502573748	12.0	164.0	134.0	310.0	 2
0.255475645296	12.0	163.0	135.0	310.0	 2
0.259580213878	12.0	162.0	136.0	310.0	 2
0.262137434606	12.0	161.0	137.0	310.0	 2
0.262391632197	11.0	162.0	137.0	310.0	 1
0.263638086973	10.0	163.0	137.0	310.0	 1
0.26647490791	10.0	162.0	138.0	310.0	 2
0.271471719541	9.0	163.0	138.0	310.0	 1
0.273077502948	9.0	162.0	139.0	310.0	 2
0.274456806023	9.0	161.0	140.0	310.0	 2
0.278655686468	9.0	160.0	141.0	310.0	 2
0.286060965588	9.0	159.0	142.0	310.0	 2
0.293133828446	9.0	158.0	143.0	310.0	 2
0.296591050481	9.0	157.0	144.0	310.0	 2
0.298239407147	9.0	156.0	145.0	310.0	 2
0.304312596741	9.0	155.0	146.0	310.0	 2
0.321098573721	9.0	154.0	147.0	310.0	 2
0.330202525669	8.0	155.0	147.0	310.0	 1
0.334181943123	8.0	154.0	148.0	310.0	 2
0.335492085685	8.0	153.0	149.0	310.0	 2
0.339992250292	7.0	154.0	149.0	310.0	 1
0.354015200702	7.0	153.0	150.0	310.0	 2
0.3561126695	7.0	152.0	151.0	310.0	 2
0.360511661728	7.0	151.0	152.0	310.0	 2
0.363267971381	7.0	150.0	153.0	310.0	 2
0.363527361466	6.0	151.0	153.0	310.0	 1
0.369427357923	6.0	150.0	154.0	310.0	 2
0.381310886853	5.0	151.0	154.0	310.0	 1
